point_id,angle,direction,filename
-DDJL273dMOG58tzZ5ze4A,0,front,pano_-DDJL273dMOG58tzZ5ze4A_h0.jpg
-DDJL273dMOG58tzZ5ze4A,90,right,pano_-DDJL273dMOG58tzZ5ze4A_h90.jpg
-DDJL273dMOG58tzZ5ze4A,180,back,pano_-DDJL273dMOG58tzZ5ze4A_h180.jpg
-DDJL273dMOG58tzZ5ze4A,270,left,pano_-DDJL273dMOG58tzZ5ze4A_h270.jpg
-HMkbyghOM_A4bKBuM6djQ,0,front,pano_-HMkbyghOM_A4bKBuM6djQ_h0.jpg
-HMkbyghOM_A4bKBuM6djQ,90,right,pano_-HMkbyghOM_A4bKBuM6djQ_h90.jpg
-HMkbyghOM_A4bKBuM6djQ,180,back,pano_-HMkbyghOM_A4bKBuM6djQ_h180.jpg
-HMkbyghOM_A4bKBuM6djQ,270,left,pano_-HMkbyghOM_A4bKBuM6djQ_h270.jpg
-J3CJ4ssl7F-on9u6FNHJg,0,front,pano_-J3CJ4ssl7F-on9u6FNHJg_h0.jpg
-J3CJ4ssl7F-on9u6FNHJg,90,right,pano_-J3CJ4ssl7F-on9u6FNHJg_h90.jpg
-J3CJ4ssl7F-on9u6FNHJg,180,back,pano_-J3CJ4ssl7F-on9u6FNHJg_h180.jpg
-J3CJ4ssl7F-on9u6FNHJg,270,left,pano_-J3CJ4ssl7F-on9u6FNHJg_h270.jpg
-J_dsCO0WY3WUrxdf0Ouig,0,front,pano_-J_dsCO0WY3WUrxdf0Ouig_h0.jpg
-J_dsCO0WY3WUrxdf0Ouig,90,right,pano_-J_dsCO0WY3WUrxdf0Ouig_h90.jpg
-J_dsCO0WY3WUrxdf0Ouig,180,back,pano_-J_dsCO0WY3WUrxdf0Ouig_h180.jpg
-J_dsCO0WY3WUrxdf0Ouig,270,left,pano_-J_dsCO0WY3WUrxdf0Ouig_h270.jpg
-JaaToDhDgbmPyv_gmBDJw,0,front,pano_-JaaToDhDgbmPyv_gmBDJw_h0.jpg
